Hotel Name,Score,Distance to Center,Price,Taxes and Fees,Total Price,Nights and Adults,Card Deal,Stars,Subway Access,Neighborhood,Room Type,Bed Type,Cancellation Policy,Payment Policy,Classification,Number of Reviews,Date of search,Checkin,Checkout,ttt,los,Hotel Index
West Side YMCA,6.6,0.35,120,10,130.0,"1 night, 2 adults",,3,True,Upper West Side,Bunk Bed Room with Shared Bathroom,1 bunk bed,,,Review score,13596 ,2024-06-24,2024-06-25,2024-06-26,1,1,1
The St. Regis New York,8.7,1.0,3956,635,4591.0,"1 night, 2 adults",,5,True,Midtown East,One-Bedroom 5th Avenue Suite - Butler Service,Private suite,,,Excellent,141 ,2024-06-24,2024-06-25,2024-06-26,1,1,2
U.S. Pacific Hotel,5.6,5.7,109,20,129.0,"1 night, 2 adults",,1,True,Chinatown,Standard Double (No Window),1 full bed,,,Review score,2449 ,2024-06-24,2024-06-25,2024-06-26,1,1,3
Pod Times Square,8.1,1.4,479,97,576.0,"1 night, 2 adults",,3,True,Hell's Kitchen,Bunk Pod,2 twin beds,,,Very Good,22310 ,2024-06-24,2024-06-25,2024-06-26,1,1,4
Pod 51,7.8,1.7,569,110,679.0,"1 night, 2 adults",,3,True,Midtown East,Standard Queen Room,1 queen bed,,,Good,10986 ,2024-06-24,2024-06-25,2024-06-26,1,1,5
Hotel Barrière Fouquet's New York,9.3,5.5,1050,186,1236.0,"1 night, 2 adults",,5,True,Tribeca,Courtyard King,1 king bed,,,Wonderful,43 ,2024-06-24,2024-06-25,2024-06-26,1,1,6
The Dominick Hotel,8.5,5.1,1005,208,1213.0,"1 night, 2 adults",,5,True,SoHo,SoHi View King Room,1 king bed,,,Very Good,1101 ,2024-06-24,2024-06-25,2024-06-26,1,1,7
Nolitan Hotel SoHo - New York,8.0,5.4,720,150,870.0,"1 night, 2 adults",,4,True,SoHo,Deluxe Queen Room,1 queen bed,,,Very Good,1399 ,2024-06-24,2024-06-25,2024-06-26,1,1,8
Trump International New York,8.9,0.1,1225,188,1413.0,"1 night, 2 adults",,5,True,Upper West Side,Executive City View One-Bedroom Suite,Private suite•1 bedroom•1 living room•1 bathroom•65m²,,,Excellent,1190 ,2024-06-24,2024-06-25,2024-06-26,1,1,9
Conrad New York Downtown,9.0,6.6,838,129,967.0,"1 night, 2 adults",,5,True,Battery Park,Deluxe King Suite,Private suite,,,Wonderful,742 ,2024-06-24,2024-06-25,2024-06-26,1,1,10
The Renwick,8.3,2.0,909,178,1087.0,"1 night, 2 adults",,4,True,Murray Hill,Gallery King,1 king bed,,,Very Good,2211 ,2024-06-24,2024-06-25,2024-06-26,1,1,11
