"Country","Region","Mode share of cycling (%)",,,,,"Share of females in cycle trips","Median age",,,,"Median distance of cycle trip (km)","Median duration of cycle trip (minutes)"
"","","All trips","Non-work trips","Work trips","All trips Males","All trips Females","","Cyclists","All other road users","Male cyclists","Female cyclists","",""
"Netherlands","Europe","26.8","27.1","25.3","25.4","28.2","54.4","36","43","30","39","2","10"
"Japan","Asia","11.5","11.9","10.1","10.2","12.7","56.4","45","54","40","48","","10"
"Germany","Europe","9.3","9.2","9.4","9.5","9.1","49.2","52","54","51","53","2","10"
"Finland","Europe","7.8","7.8","8.4","8","7.6","50.4","31","44","27","33","2","15"
"Switzerland","Europe","6.7","6.3","8.1","7.2","6.3","46.6","39","46","38","41","1.7","10"
"Argentina","Latin America","3.6","3.3","5","4.9","2.4","33.6","33","30","34","31","","15"
"Chile","Latin America","2.7","2.3","3.7","3.9","1.6","30.8","36","32","40","29","","20"
"England","Europe","2.1","1.6","3.9","3.2","1.1","26.5","38","41","39","38","3.2","16"
"Australia","Australia","1.8","1.8","1.2","2.4","1.2","35.5","34","40","34","33","2.5","15"
"USA","North America","1.1","1","1.3","1.6","0.6","30.2","39","50","40","37","1.9","15"
"Brazil","Latin America","0.8","0.4","1.3","1.4","0.2","13.2","35","31","36","31","","20"
