Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Japan,JPN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.93
Japan,JPN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.74
Japan,JPN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.53
Japan,JPN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.3
Japan,JPN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.02
Japan,JPN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.02
Japan,JPN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.72
Japan,JPN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.32
Japan,JPN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.02
Japan,JPN,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.69
Japan,JPN,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.94
Japan,JPN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.87
Japan,JPN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.69
Japan,JPN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.5
Japan,JPN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.29
Japan,JPN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.03
Japan,JPN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.73
Japan,JPN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.03
Japan,JPN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.33
Japan,JPN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.03
Japan,JPN,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.99
Japan,JPN,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.8
Japan,JPN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.15
Japan,JPN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.18
Japan,JPN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.2
Japan,JPN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.23
Japan,JPN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.32
Japan,JPN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.32
Japan,JPN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.38
Japan,JPN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.61
Japan,JPN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.05
Japan,JPN,1965,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.85
Japan,JPN,1960,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.67
Japan,JPN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.13
Japan,JPN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.16
Japan,JPN,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.17
Japan,JPN,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.19
Japan,JPN,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.24
Japan,JPN,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.29
Japan,JPN,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.31
Japan,JPN,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.41
Japan,JPN,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,0.71
Japan,JPN,1965,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,1.45
Japan,JPN,1960,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.4
Japan,JPN,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
Japan,JPN,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.06
Japan,JPN,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.06
Japan,JPN,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.05
Japan,JPN,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.03
Japan,JPN,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
Japan,JPN,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.09
Japan,JPN,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.16
Japan,JPN,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.16
Japan,JPN,1965,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.2
Japan,JPN,1960,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.2
Japan,JPN,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.1
Japan,JPN,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.06
Japan,JPN,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.07
Japan,JPN,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.08
Japan,JPN,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.04
Japan,JPN,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.1
Japan,JPN,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.1
Japan,JPN,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.12
Japan,JPN,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.12
Japan,JPN,1965,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.2
Japan,JPN,1960,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.2
Japan,JPN,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.06
Japan,JPN,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.06
Japan,JPN,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.05
Japan,JPN,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.04
Japan,JPN,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.09
Japan,JPN,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.09
Japan,JPN,1980,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.16
