age,total,male,female
0-4,4720000,2420000,2300000
5-9,5070000,2590000,2470000
10-14,5340000,2730000,2600000
15-19,5790000,2970000,2820000
20-24,6370000,3290000,3070000
25-29,6260000,3230000,3030000
30-34,6680000,3410000,3270000
35-39,7480000,3790000,3690000
40-44,8580000,4350000,4240000
45-49,9820000,4970000,4850000
50-54,8610000,4330000,4280000
55-59,7770000,3880000,3890000
60-64,7450000,3680000,3770000
65-69,8470000,4100000,4370000
70-74,8950000,4230000,4730000
75-79,7180000,3210000,3970000
80-84,5370000,2220000,3150000
85-89,3670000,1300000,2370000
90-94,1800000,500000,1300000
95-99,510000,90000,410000
100-,80000,10000,70000
