Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Spain,ESP,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.22
Spain,ESP,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.44
Spain,ESP,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.97
Spain,ESP,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,5.03
Spain,ESP,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.41
Spain,ESP,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,2.57
Spain,ESP,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,4.8
Spain,ESP,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.7
Spain,ESP,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,17.14
Spain,ESP,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,36.72
Spain,ESP,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,47.79
Spain,ESP,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.27
Spain,ESP,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.32
Spain,ESP,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.29
Spain,ESP,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.24
Spain,ESP,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.57
Spain,ESP,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,2.34
Spain,ESP,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,4.8
Spain,ESP,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,12.91
Spain,ESP,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,18.57
Spain,ESP,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,36.89
Spain,ESP,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,47.01
Spain,ESP,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3
Spain,ESP,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,3.03
Spain,ESP,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,17.28
Spain,ESP,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,22.27
Spain,ESP,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.81
Spain,ESP,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,30.44
Spain,ESP,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.87
Spain,ESP,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,38.22
Spain,ESP,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.03
Spain,ESP,1965,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,49.97
Spain,ESP,1960,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,54.05
Spain,ESP,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.25
Spain,ESP,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,2.25
Spain,ESP,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,15.22
Spain,ESP,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.79
Spain,ESP,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,25.85
Spain,ESP,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,27.25
Spain,ESP,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,28.58
Spain,ESP,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,34.36
Spain,ESP,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,34.05
Spain,ESP,1965,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,46.08
Spain,ESP,1960,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,50.11
Spain,ESP,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.38
Spain,ESP,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,0.58
Spain,ESP,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,1.97
Spain,ESP,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,2.25
Spain,ESP,1990,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,5.06
Spain,ESP,1985,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,7.9
Spain,ESP,1980,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,8.6
Spain,ESP,1975,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,17.7
Spain,ESP,1970,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,17.7
Spain,ESP,1965,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.96
Spain,ESP,1960,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,32.96
Spain,ESP,2010,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.5
Spain,ESP,2005,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,0.46
Spain,ESP,2000,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.32
Spain,ESP,1995,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,2.68
Spain,ESP,1990,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,5.14
Spain,ESP,1985,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,7.51
Spain,ESP,1980,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,8.2
Spain,ESP,1975,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16
Spain,ESP,1970,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,16
Spain,ESP,1965,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,29.81
Spain,ESP,1960,Barro-Lee: Percentage of population age 20-24 with no education,BAR.NOED.2024.ZS,29.81
Spain,ESP,2010,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.5
Spain,ESP,2005,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,0.62
Spain,ESP,2000,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,2.25
Spain,ESP,1995,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,3.94
Spain,ESP,1990,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,7.9
Spain,ESP,1985,Barro-Lee: Percentage of female population age 25-29 with no education,BAR.NOED.2529.FE.ZS,8.22
