Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;;;;;Passengers transported;2024M04;499,234
Total passengers;;;;;Passengers transported;2024M03;462,871
Total passengers;;;;;Passengers transported;2024M02;465,157
Total passengers;;;;;Passengers transported;2024M01;444,162
Total passengers;;;;;Passengers transported;2023M12;430,019
Total passengers;;;;;Passengers transported;2023M11;479,418
Total passengers;;;;;Passengers transported;2023M10;495,379
Total passengers;;;;;Passengers transported;2023M09;450,726
Total passengers;;;;;Passengers transported;2023M08;335,706
Total passengers;;;;;Passengers transported;2023M07;394,932
Total passengers;;;;;Passengers transported;2023M06;450,724
Total passengers;;;;;Passengers transported;2023M05;467,936
Total passengers;;;;;Passengers transported;2023M04;413,030
Total passengers;;;;;Passengers transported;2023M03;476,727
Total passengers;;;;;Passengers transported;2023M02;400,881
Total passengers;;;;;Passengers transported;2023M01;390,952
Total passengers;;;;;Passengers transported;2022M12;383,436
Total passengers;;;;;Passengers transported;2022M11;424,593
Total passengers;;;;;Passengers transported;2022M10;431,429
Total passengers;;;;;Passengers transported;2022M09;396,549
Total passengers;;;;;Passengers transported;2022M08;274,081
Total passengers;;;;;Passengers transported;2022M07;324,926
Total passengers;;;;;Passengers transported;2022M06;381,022
Total passengers;;;;;Passengers transported;2022M05;401,184
Total passengers;;;;;Passengers transported;2022M04;353,739
Total passengers;;;;;Passengers transported;2022M03;394,858
Total passengers;;;;;Passengers transported;2022M02;330,199
Total passengers;;;;;Passengers transported;2022M01;292,430
Total passengers;;;;;Passengers transported;2021M12;315,200
Total passengers;;;;;Passengers transported;2021M11;360,360
Total passengers;;;;;Passengers transported;2021M10;354,798
Total passengers;;;;;Passengers transported;2021M09;320,249
Total passengers;;;;;Passengers transported;2021M08;215,978
Total passengers;;;;;Passengers transported;2021M07;262,704
Total passengers;;;;;Passengers transported;2021M06;297,090
Total passengers;;;;;Passengers transported;2021M05;290,072
Total passengers;;;;;Passengers transported;2021M04;262,485
Total passengers;;;;;Passengers transported;2021M03;276,862
Total passengers;;;;;Passengers transported;2021M02;229,856
Total passengers;;;;;Passengers transported;2021M01;207,519
Total passengers;;;;;Passengers transported;2020M12;241,475
Total passengers;;;;;Passengers transported;2020M11;245,412
Total passengers;;;;;Passengers transported;2020M10;262,970
Total passengers;;;;;Passengers transported;2020M09;237,278
Total passengers;;;;;Passengers transported;2020M08;169,076
Total passengers;;;;;Passengers transported;2020M07;208,453
Total passengers;;;;;Passengers transported;2020M06;158,891
Total passengers;;;;;Passengers transported;2020M05;72,832
Total passengers;;;;;Passengers transported;2020M04;36,811
Total passengers;;;;;Passengers transported;2020M03;209,767
Total passengers;;;;;Passengers transported;2020M02;434,487
Total passengers;;;;;Passengers transported;2020M01;423,342
Total passengers;;;;;Passengers transported;2019M12;407,340
Total passengers;;;;;Passengers transported;2019M11;444,499
Total passengers;;;;;Passengers transported;2019M10;487,628
Total passengers;;;;;Passengers transported;2019M09;420,342
Total passengers;;;;;Passengers transported;2019M08;307,049
Total passengers;;;;;Passengers transported;2019M07;392,825
Total passengers;;;;;Passengers transported;2019M06;428,523
